category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Accessories,Men,Danbury,16,126.65,287.84,1,0.0588,16.0
Underwear,Men,YogaColors,16,125.88,272.97,0,0.0,
Leggings,Women,Tresics,16,115.79,206.4,1,0.0588,16.0
Accessories,Men,Original Penguin,16,108.92,280.0,1,0.0588,16.0
Socks,Men,Brooks,16,108.86,192.0,1,0.0588,16.0
Socks,Men,Skechers,16,102.09,164.91,3,0.1579,5.33
Plus,Women,C.C. Exclusives,16,101.4,223.84,0,0.0,
Active,Women,Bridgedale,16,97.32,223.2,1,0.0588,16.0
Accessories,Men,YUUUP!,16,88.02,239.84,1,0.0588,16.0
Plus,Women,VH Apparel - All Mixed Up,16,87.96,175.84,2,0.1111,8.0
Accessories,Women,BeltsandStuds,16,87.3,239.84,2,0.1111,8.0
Sweaters,Women,STYLE,16,83.43,199.84,2,0.1111,8.0
Accessories,Men,Sheer Delights,16,78.57,223.84,2,0.1111,8.0
Pants,Men,Vittorino,16,65.85,159.84,2,0.1111,8.0
Socks & Hosiery,Women,World's Softest,16,65.84,157.47,3,0.1579,5.33
Leggings,Women,Diva,16,61.41,101.6,0,0.0,
Blazers & Jackets,Women,White Lotus,16,56.04,159.2,5,0.2381,3.2
Plus,Women,,16,48.97,96.26,0,0.0,
Accessories,Women,IG Clear Lens,16,47.68,127.84,1,0.0588,16.0
Plus,Women,NYGiftStop Scarf,16,41.99,87.84,1,0.0588,16.0
Plus,Women,Coloriffics,16,22.64,42.72,1,0.0588,16.0
Socks & Hosiery,Women,Palmetto Fundraising,16,14.84,38.2,0,0.0,
Plus,Women,BGSD,15,2419.12,4799.85,1,0.0625,15.0
Outerwear & Coats,Men,Zero Restriction,15,2316.68,5925.0,3,0.1667,5.0
Outerwear & Coats,Men,Mammut,15,2138.34,4949.85,2,0.1176,7.5
Outerwear & Coats,Women,Giovanni Navarre,15,1653.63,3634.35,0,0.0,
Outerwear & Coats,Men,Craghoppers,15,1631.25,3750.0,2,0.1176,7.5
Suits & Sport Coats,Men,LINCS DC & Co,15,1547.02,4147.5,1,0.0625,15.0
Accessories,Women,FRYE,15,1265.22,2970.0,3,0.1667,5.0
Dresses,Women,Sofie,15,1153.84,2662.5,0,0.0,
Sweaters,Women,Velvet,15,1153.71,2449.5,3,0.1667,5.0
Swim,Women,Mara Hoffman,15,1103.38,2502.0,1,0.0625,15.0
Outerwear & Coats,Women,Mod-O-Doc,15,1083.75,2550.0,0,0.0,
Jumpsuits & Rompers,Women,Sky Brand,15,1077.27,2235.0,1,0.0625,15.0
Maternity,Women,BCBGMAXAZRIA,15,941.56,2244.0,2,0.1176,7.5
Outerwear & Coats,Women,DC,15,936.45,2050.0,1,0.0625,15.0
Sweaters,Men,prAna,15,886.87,1875.0,1,0.0625,15.0
Shorts,Women,Habitual,15,871.88,1687.5,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Men,Ducati,15,791.5,1485.0,3,0.1667,5.0
Skirts,Women,Yoana Baraschi,15,721.38,1939.2,0,0.0,
Blazers & Jackets,Women,Babakul,15,711.75,1950.0,2,0.1176,7.5
Sweaters,Women,Evolution by Cyrus,15,709.5,1500.0,1,0.0625,15.0
Outerwear & Coats,Men,NRS,15,697.88,1424.25,1,0.0625,15.0
Tops & Tees,Women,D.E.P.T.,15,697.76,1335.0,1,0.0625,15.0
Blazers & Jackets,Women,Tart,15,693.45,1725.0,1,0.0625,15.0
Intimates,Women,Undrest,15,672.75,1170.0,0,0.0,
Blazers & Jackets,Women,D&G Dolce & Gabbana,15,671.42,1957.5,3,0.1667,5.0
Sweaters,Men,Zanerobe,15,649.22,1417.5,1,0.0625,15.0
Sweaters,Women,Karen Kane,15,645.33,1470.0,1,0.0625,15.0
Sweaters,Women,Aventura,15,639.71,1484.25,1,0.0625,15.0
Swim,Women,Sperry Top-Sider,15,637.56,1380.0,1,0.0625,15.0
Intimates,Women,Flattering Me,15,633.97,1185.0,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Men,Altamont,15,588.22,1023.85,0,0.0,
Jeans,Men,Kenneth Cole New York,15,585.89,1042.5,1,0.0625,15.0
Outerwear & Coats,Men,G by GUESS,15,585.06,1492.5,0,0.0,
Active,Women,Bench,15,566.04,1335.0,3,0.1667,5.0
Suits & Sport Coats,Men,King Formal Premium,15,550.97,1229.85,0,0.0,
Accessories,Women,Barmah Hats,15,546.84,1260.0,3,0.1667,5.0
Active,Women,Pink Lotus,15,546.48,1224.0,0,0.0,
Active,Women,FOURSQUARE,15,544.13,1259.55,1,0.0625,15.0
Shorts,Women,CoreyLynnCalter,15,530.49,995.26,0,0.0,
Outerwear & Coats,Men,Toes on the Nose,15,522.81,1110.0,1,0.0625,15.0
Skirts,Women,DKNYC,15,521.23,1485.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Bigmansland,15,515.89,944.85,2,0.1176,7.5
Shorts,Women,Pendleton,15,513.06,1020.0,1,0.0625,15.0
Jeans,Men,Analog,15,510.9,975.0,1,0.0625,15.0
Intimates,Women,Elomi,15,508.8,1011.15,2,0.1176,7.5
Plus,Women,Smith Optics,15,507.78,1009.5,1,0.0625,15.0
Outerwear & Coats,Men,Moda Essentials,15,490.28,1049.85,1,0.0625,15.0
Swim,Men,Island Passport,15,482.25,750.0,2,0.1176,7.5
Accessories,Women,Under Armour,15,481.95,1164.85,1,0.0625,15.0
Plus,Women,Jones New York,15,476.16,960.0,0,0.0,
Sleep & Lounge,Men,Harley-Davidson,15,465.87,1049.25,1,0.0625,15.0
Sweaters,Men,Caribbean Joe,15,463.08,1020.0,0,0.0,
Accessories,Men,Grandoe,15,459.31,1199.25,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Women,Patty,15,450.17,959.85,1,0.0625,15.0
Pants & Capris,Women,Tripp NYC,15,447.09,855.0,2,0.1176,7.5
Dresses,Women,Blue Banana,15,439.11,993.85,2,0.1176,7.5
Skirts,Women,D&G Dolce & Gabbana,15,436.59,1129.25,0,0.0,
Outerwear & Coats,Men,Brixton,15,434.39,1049.25,1,0.0625,15.0
Jumpsuits & Rompers,Women,Dallin Chase,15,430.65,870.0,2,0.1176,7.5
Pants & Capris,Women,Fox,15,421.05,757.5,1,0.0625,15.0
Blazers & Jackets,Women,Aris A,15,416.35,1199.85,1,0.0625,15.0
Active,Women,Wacoal,15,415.35,975.0,0,0.0,
Pants,Men,True Nation,15,407.87,892.5,2,0.1176,7.5
Pants & Capris,Women,Zeniche,15,397.03,765.0,0,0.0,
Tops & Tees,Men,Wolverine,15,395.37,690.0,0,0.0,
Suits & Sport Coats,Men,Billabong,15,394.06,1042.5,2,0.1176,7.5
Fashion Hoodies & Sweatshirts,Women,Testament,15,393.81,810.3,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Men,Animal Planet,15,389.72,674.25,0,0.0,
Jeans,Men,555 Turnpike,15,384.75,750.0,1,0.0625,15.0
Sleep & Lounge,Women,Stan Herman,15,380.09,664.5,2,0.1176,7.5
Swim,Men,Perry Ellis,15,379.22,624.75,1,0.0625,15.0
Shorts,Men,True Nation,15,378.63,803.0,2,0.1176,7.5
Pants & Capris,Women,Alternative,15,375.3,675.0,1,0.0625,15.0
Sweaters,Men,O'Neill,15,373.15,734.55,1,0.0625,15.0
Sweaters,Women,Billabong,15,373.06,892.5,0,0.0,
Leggings,Women,RD Style,15,367.62,660.0,1,0.0625,15.0
Leggings,Women,Avenue,15,366.6,600.0,2,0.1176,7.5
Skirts,Women,Horny Toad,15,365.1,899.25,0,0.0,
Swim,Men,Famous Stars and Straps,15,357.15,599.25,0,0.0,
Intimates,Women,US Fairytailes,15,355.65,674.85,3,0.1667,5.0
Swim,Women,Dotti,15,351.0,780.0,0,0.0,
Fashion Hoodies & Sweatshirts,Men,J America,15,350.47,615.17,0,0.0,
Tops & Tees,Men,Tommy Bahama,15,345.66,582.9,0,0.0,
Jumpsuits & Rompers,Women,Krazy,15,342.32,673.85,1,0.0625,15.0
Pants,Men,Propper,15,339.59,796.23,0,0.0,
Jeans,Women,2b by bebe,15,339.0,639.25,2,0.1176,7.5
Swim,Women,J Valdi,15,332.43,839.56,1,0.0625,15.0
Shorts,Men,Boulder Creek,15,329.6,665.85,1,0.0625,15.0
Swim,Women,Bleu Rod Beattie,15,323.48,774.69,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Women,Nomis,15,319.58,652.77,1,0.0625,15.0
Sweaters,Men,Alfani,15,314.94,632.4,2,0.1176,7.5
Tops & Tees,Women,Coolibar,15,303.61,585.0,0,0.0,
Sweaters,Men,Southpole,15,293.4,600.0,2,0.1176,7.5
Blazers & Jackets,Women,Fashion Victim,15,293.19,749.85,3,0.1667,5.0
Pants,Men,INC International Concepts,15,285.53,675.0,1,0.0625,15.0
Leggings,Women,eloquii,15,284.22,450.0,1,0.0625,15.0
Shorts,Women,Anne Klein,15,279.15,538.98,2,0.1176,7.5
Swim,Men,Legendary Whitetails,15,278.46,449.85,1,0.0625,15.0
Active,Men,Threads4Thought,15,276.21,742.5,2,0.1176,7.5
Sleep & Lounge,Men,PajamaCity,15,275.85,779.25,1,0.0625,15.0
Intimates,Women,ShaToBu,15,275.31,570.0,2,0.1176,7.5
Skirts,Women,Arbor,15,270.29,659.25,0,0.0,
Plus,Women,Tri-Mountain,15,267.44,554.85,3,0.1667,5.0
Active,Women,Handful,15,265.86,630.0,1,0.0625,15.0
Leggings,Women,ROPA VOGA,15,263.25,405.0,0,0.0,
Underwear,Men,Timeteo,15,262.98,540.0,1,0.0625,15.0
Maternity,Women,Carriwell,15,254.22,570.0,0,0.0,
Sweaters,Women,AxParis,15,251.41,564.5,2,0.1176,7.5
Suits & Sport Coats,Men,Brand Q Vest,15,250.17,598.5,0,0.0,
Sleep & Lounge,Women,Rimann & Associates,15,250.04,434.85,1,0.0625,15.0
Skirts,Women,My Michelle,15,241.33,582.0,2,0.1176,7.5
Blazers & Jackets,Women,METROPARK,15,241.2,598.5,2,0.1176,7.5
Fashion Hoodies & Sweatshirts,Men,Bravado,15,239.99,404.7,2,0.1176,7.5
Active,Men,Capezio,15,238.43,640.95,0,0.0,
Sweaters,Women,Elita,15,235.2,480.0,1,0.0625,15.0
Tops & Tees,Men,Bass,15,229.82,378.0,2,0.1176,7.5
Pants,Men,UNIONBAY,15,224.41,484.85,3,0.1667,5.0
Tops & Tees,Men,Metal Mulisha,15,211.68,360.0,0,0.0,
Underwear,Men,Craft,15,210.15,450.0,3,0.1667,5.0
Maternity,Women,Bump,15,207.5,435.0,1,0.0625,15.0
Shorts,Women,JET,15,205.12,375.0,2,0.1176,7.5
Plus,Women,Hello Kitty,15,201.38,375.0,0,0.0,
Jeans,Women,Icon,15,198.0,375.0,2,0.1176,7.5
Intimates,Women,WMU,15,195.28,383.15,5,0.25,3.0
Tops & Tees,Men,Modern Culture,15,192.75,375.0,1,0.0625,15.0
Sweaters,Women,Spring & Mercer,15,186.89,449.25,1,0.0625,15.0
Active,Women,tasc Performance,15,181.92,480.0,0,0.0,
Jumpsuits & Rompers,Women,Rojas,15,179.11,329.85,0,0.0,
Tops & Tees,Women,Roxy,15,174.02,304.7,0,0.0,
Socks & Hosiery,Women,Spanx,15,171.53,420.0,2,0.1176,7.5
Intimates,Women,Bra Discs,15,170.05,320.25,1,0.0625,15.0
Accessories,Women,J Hat,15,167.25,389.85,1,0.0625,15.0
Accessories,Men,Marine,15,166.8,404.85,1,0.0625,15.0
Pants & Capris,Women,Lagaci Sport,15,166.57,329.85,2,0.1176,7.5
Intimates,Women,Secret Lace,15,161.36,317.5,1,0.0625,15.0
Accessories,Men,Winn,15,159.8,374.25,0,0.0,
Underwear,Men,Fullness,15,159.41,359.85,0,0.0,
Underwear,Men,Joe Snyder,15,157.74,330.0,2,0.1176,7.5
Accessories,Women,Artex,15,154.81,358.85,1,0.0625,15.0
Shorts,Men,Caribbean Joe,15,154.41,299.25,1,0.0625,15.0
Active,Men,Reebok,15,150.75,375.0,0,0.0,
Skirts,Women,Allen Allen,15,150.75,375.0,3,0.1667,5.0
Swim,Women,DC Comics,15,150.66,324.0,1,0.0625,15.0
Swim,Men,Elan,15,149.19,239.85,1,0.0625,15.0
Swim,Women,Zicac,15,129.24,299.85,1,0.0625,15.0
Tops & Tees,Men,Shirt City,15,126.7,224.25,1,0.0625,15.0
Blazers & Jackets,Women,eVogues Apparel,15,125.64,299.85,1,0.0625,15.0
Fashion Hoodies & Sweatshirts,Women,HYP,15,120.73,258.63,2,0.1176,7.5
Tops & Tees,Men,Custom '77,15,117.45,225.0,1,0.0625,15.0
Socks,Men,Pacific Legwear,15,116.82,198.35,1,0.0625,15.0
Sleep & Lounge,Women,dollhouse,15,114.06,179.85,2,0.1176,7.5
Shorts,Women,Jou Jou,15,114.03,225.0,1,0.0625,15.0
Sleep & Lounge,Women,Lov to Sleep,15,112.78,183.85,1,0.0625,15.0
Shorts,Women,Brave Soul,15,108.37,216.75,0,0.0,
Tops & Tees,Men,Aeropostale,15,107.86,209.85,1,0.0625,15.0
Accessories,Men,Domo,15,104.82,284.85,2,0.1176,7.5
Intimates,Women,Avenue,15,101.39,193.5,0,0.0,
Active,Men,Gary Majdell Sport,15,101.08,269.55,1,0.0625,15.0
Leggings,Women,Lily's Hosiery,15,101.05,164.85,0,0.0,
Jeans,Women,Omega,15,99.76,194.85,1,0.0625,15.0
Socks & Hosiery,Women,Avenue,15,98.77,225.0,1,0.0625,15.0
Socks,Men,Stacy Adams,15,90.6,150.0,2,0.1176,7.5
Socks & Hosiery,Women,Sheec,15,87.49,194.85,1,0.0625,15.0
Active,Women,Rampage,15,86.31,210.0,1,0.0625,15.0
Active,Women,Sox Shop,15,86.18,225.0,0,0.0,
Leggings,Women,Finaday,15,85.79,134.25,1,0.0625,15.0
Dresses,Women,VIP,15,84.78,209.85,2,0.1176,7.5
Leggings,Women,NNW,15,81.36,134.25,1,0.0625,15.0
Socks,Men,Big and Tall Guys,15,76.12,129.45,1,0.0625,15.0
Sweaters,Men,Crazy Granny,15,72.77,135.0,1,0.0625,15.0
Active,Men,Dr. Comfort,15,68.93,149.85,2,0.1176,7.5
Accessories,Women,Carol Wright Gifts,15,64.14,149.85,3,0.1667,5.0
Active,Women,Trendy Trends,15,57.48,129.75,2,0.1176,7.5
Leggings,Women,Universal Textiles,15,56.6,96.75,0,0.0,
Accessories,Men,Rasta/NYE,15,54.38,145.8,1,0.0625,15.0
Accessories,Men,Port Authority,15,51.22,123.06,2,0.1176,7.5
Accessories,Women,Elements of Style,15,47.33,134.85,1,0.0625,15.0
Intimates,Women,Booty Pop,15,42.89,74.85,1,0.0625,15.0
Active,Women,JMS,15,38.63,98.55,1,0.0625,15.0
Accessories,Women,VooDoo Tactical,15,37.76,89.7,2,0.1176,7.5
Tops & Tees,Women,HYP,15,37.38,64.15,2,0.1176,7.5
Plus,Women,Kendall Drive,15,36.38,74.85,2,0.1176,7.5
Suits & Sport Coats,Men,Faconnable,14,2600.32,6825.0,1,0.0667,14.0
Outerwear & Coats,Men,Sitka Gear,14,1630.31,3971.94,2,0.125,7.0
Pants & Capris,Women,J BRAND,14,1530.87,2888.0,1,0.0667,14.0
Pants & Capris,Women,Red Valentino,14,1442.87,2702.0,2,0.125,7.0
Dresses,Women,Ella Moss,14,1437.41,3472.0,2,0.125,7.0
Outerwear & Coats,Men,G-Star,14,1256.09,2780.0,1,0.0667,14.0
Sweaters,Men,GaelSong,14,1214.51,2646.0,0,0.0,
Clothing Sets,Women,N.G.U.,14,1123.92,1680.0,3,0.1765,4.67
Active,Men,Billabong,14,1094.74,2379.86,0,0.0,
Suits & Sport Coats,Men,Victorinox,14,1078.3,2764.86,1,0.0667,14.0
Active,Women,Gore,14,1050.49,2239.86,2,0.125,7.0
Dresses,Women,Design History,14,999.3,2100.0,1,0.0667,14.0
Pants,Men,J.Lindeberg,14,933.53,1953.0,0,0.0,
Outerwear & Coats,Men,Original Penguin,14,906.26,2205.0,2,0.125,7.0
Sleep & Lounge,Men,turkishtowels,14,888.24,2099.86,0,0.0,
Sweaters,Men,Mod-O-Doc,14,863.52,1680.0,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Rebel,14,861.7,1679.72,2,0.125,7.0
Sweaters,Women,Lilly Pulitzer,14,855.29,2072.0,4,0.2222,3.5
Blazers & Jackets,Women,525 America,14,842.77,2212.0,1,0.0667,14.0
Sweaters,Men,Robert Graham,14,808.53,1569.96,0,0.0,
Accessories,Women,Versace,14,807.75,1799.0,0,0.0,
Shorts,Men,Faconnable,14,805.0,1750.0,1,0.0667,14.0
Tops & Tees,Women,LNA,14,796.95,1386.0,1,0.0667,14.0
Active,Men,Speedo,14,770.08,1728.24,1,0.0667,14.0
Suits & Sport Coats,Men,Bill Blass,14,741.46,1889.86,1,0.0667,14.0
Outerwear & Coats,Men,Irish Setter,14,697.62,1559.86,0,0.0,
Suits & Sport Coats,Men,Rebel8,14,680.4,1680.0,0,0.0,
Jeans,Men,Tommy Hilfiger,14,676.62,1253.0,2,0.125,7.0
Accessories,Women,Rebecca Minkoff,14,658.39,1495.94,0,0.0,
Sweaters,Men,Green 3 Apparel,14,627.76,1202.6,1,0.0667,14.0
Jeans,Men,Oakley,14,611.52,1120.0,2,0.125,7.0
Pants,Men,Tokyo Five Brand,14,601.02,1260.0,3,0.1765,4.67
Jeans,Men,Jack,14,594.27,1042.58,0,0.0,
Active,Women,PureLime,14,583.8,1400.0,0,0.0,
Pants,Men,Corcini,14,574.5,1259.86,1,0.0667,14.0
Pants,Men,McAlister,14,574.5,1259.86,0,0.0,
Suits & Sport Coats,Men,Vans,14,567.21,1533.0,0,0.0,
Leggings,Women,Woodmont,14,559.1,896.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,HARAJUKU LOVERS,14,554.48,1148.0,1,0.0667,14.0
Outerwear & Coats,Women,Green with Envy,14,553.28,1120.0,0,0.0,
Outerwear & Coats,Men,Pearl iZUMi,14,549.3,1341.84,1,0.0667,14.0
Sleep & Lounge,Men,Legendary Apparel,14,549.05,1259.3,1,0.0667,14.0
Sweaters,Women,Carve Designs,14,538.61,1176.0,1,0.0667,14.0
Jeans,Women,American Apparel,14,537.6,1064.0,1,0.0667,14.0
Socks,Men,CEP Compression Socks,14,536.31,839.3,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Portal 2,14,533.53,916.72,0,0.0,
Jeans,Men,Greystone,14,531.13,976.3,0,0.0,
Swim,Men,Bluefin USA,14,508.12,839.86,1,0.0667,14.0
Swim,Men,Enjoi,14,492.35,769.3,3,0.1765,4.67
Active,Men,Bear Grylls,14,476.38,1049.3,0,0.0,
Plus,Women,Le Mystere,14,474.8,955.85,0,0.0,
Shorts,Men,GUESS,14,465.61,966.0,2,0.125,7.0
Swim,Men,Andrew Christian,14,464.58,748.51,2,0.125,7.0
Jeans,Women,LA IDOL,14,451.5,840.0,1,0.0667,14.0
Suits & Sport Coats,Men,Etnies,14,449.96,1119.3,0,0.0,
Maternity,Women,Toni Top,14,446.29,924.0,3,0.1765,4.67
Outerwear & Coats,Women,KUT from the Kloth,14,431.9,1035.72,1,0.0667,14.0
Sleep & Lounge,Men,DC Comics,14,428.93,979.3,0,0.0,
Outerwear & Coats,Women,American Apparel,14,427.7,910.0,3,0.1765,4.67
Active,Men,Saucony,14,426.72,1120.0,2,0.125,7.0
Swim,Women,Penbrooke,14,426.24,979.86,0,0.0,
Jumpsuits & Rompers,Women,My Michelle,14,421.26,826.0,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Manufactured for Boeing,14,418.11,770.0,1,0.0667,14.0
Accessories,Men,Bosca,14,415.52,980.0,0,0.0,
Dresses,Women,Rebecca Minkoff,14,414.83,836.36,2,0.125,7.0
Fashion Hoodies & Sweatshirts,Men,Elixir,14,412.92,699.86,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Golds Gym,14,411.19,699.3,3,0.1765,4.67
Maternity,Women,Serfontaine,14,402.23,959.98,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Natural Gear,14,393.32,699.86,1,0.0667,14.0
Active,Men,Oakley,14,392.0,980.0,2,0.125,7.0
Pants,Men,Tallia,14,370.19,864.92,1,0.0667,14.0
Sweaters,Men,Toddland,14,368.65,812.0,1,0.0667,14.0
Blazers & Jackets,Women,CoreyLynnCalter,14,368.3,1106.0,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Moon Shine Attitude Attire,14,367.21,629.86,0,0.0,
Skirts,Women,Eva Franco,14,360.35,828.38,2,0.125,7.0
Jumpsuits & Rompers,Women,Rip Curl,14,356.78,644.0,3,0.1765,4.67
Shorts,Men,Creekwood,14,353.47,672.0,0,0.0,
Shorts,Women,Mountain Hardwear,14,352.34,769.3,1,0.0667,14.0
Pants,Men,Timberland,14,350.78,756.0,3,0.1765,4.67
Jeans,Men,Savane,14,347.13,630.0,0,0.0,
Active,Men,Leonisa,14,345.24,840.0,2,0.125,7.0
Swim,Women,Freya,14,341.94,880.0,3,0.1765,4.67
Fashion Hoodies & Sweatshirts,Men,Glamour,14,334.52,643.3,1,0.0667,14.0
Plus,Women,Three Dots,14,331.97,672.0,1,0.0667,14.0
Swim,Women,Aloha,14,324.74,699.86,0,0.0,
Active,Women,SnowAngel,14,324.1,700.0,2,0.125,7.0
Swim,Men,Matix,14,323.68,566.86,1,0.0667,14.0
Active,Women,Teeki,14,322.29,839.3,2,0.125,7.0
Active,Women,Alternative,14,319.78,799.86,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Nintendo,14,315.7,574.0,0,0.0,
Jeans,Women,Pendleton,14,304.54,532.84,1,0.0667,14.0
Jeans,Men,River Road,14,303.27,601.72,0,0.0,
Fashion Hoodies & Sweatshirts,Men,Activewear Apparel,14,302.75,587.86,0,0.0,
Accessories,Women,Kangol,14,298.37,672.0,0,0.0,
Tops & Tees,Women,Vobaga,14,295.77,503.86,1,0.0667,14.0
Fashion Hoodies & Sweatshirts,Women,Vobaga,14,291.56,575.06,3,0.1765,4.67
Blazers & Jackets,Women,A. Byer,14,290.95,770.0,1,0.0667,14.0
Tops & Tees,Men,Palmland,14,285.77,504.0,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Loyal,14,284.44,629.3,1,0.0667,14.0
Outerwear & Coats,Men,Red Kap,14,280.29,629.86,0,0.0,
Socks,Men,J.B. Icelandic (Extreme Cold Activity),14,276.74,462.0,0,0.0,
Pants & Capris,Women,Jessica London,14,270.89,489.86,2,0.125,7.0
Maternity,Women,Elle Macpherson Intimates,14,270.27,630.0,1,0.0667,14.0
Blazers & Jackets,Women,Rafaella,14,270.26,744.52,1,0.0667,14.0
Plus,Women,Betsey Johnson,14,267.44,520.0,1,0.0667,14.0
Sweaters,Men,Kenneth Cole REACTION,14,264.25,559.86,1,0.0667,14.0
Sleep & Lounge,Women,Coyuchi,14,258.05,448.0,3,0.1765,4.67
Maternity,Women,BellyBra,14,256.15,616.42,1,0.0667,14.0
Pants,Men,Flex-Zone,14,250.82,559.86,2,0.125,7.0
Active,Men,Harriton,14,250.04,615.86,0,0.0,
Tops & Tees,Men,Rivers' End,14,248.81,419.58,0,0.0,
Jeans,Men,Comfort Colors,14,248.4,503.86,0,0.0,
Jeans,Women,Dockers,14,243.95,489.86,0,0.0,
Sleep & Lounge,Women,Woman Within,14,243.94,419.86,1,0.0667,14.0
Underwear,Men,Ralph Lauren,14,240.93,531.86,2,0.125,7.0
Maternity,Women,Woman Within,14,238.07,489.86,1,0.0667,14.0
Shorts,Women,Torrid,14,238.02,487.0,1,0.0667,14.0
Underwear,Men,Coldpruf,14,235.21,458.5,2,0.125,7.0
Socks,Men,TravelSox,14,234.28,419.86,0,0.0,
Jumpsuits & Rompers,Women,eVogues Apparel,14,221.69,419.86,1,0.0667,14.0
Leggings,Women,Betsey Johnson,14,221.2,350.0,1,0.0667,14.0
Jumpsuits & Rompers,Women,PinkClubwear,14,220.69,391.3,2,0.125,7.0
Dresses,Women,Romeo & Juliet Couture,14,218.51,504.74,0,0.0,
Sleep & Lounge,Women,Medline,14,204.2,335.86,1,0.0667,14.0
Pants,Men,Key Industries,14,202.79,419.86,0,0.0,
Accessories,Men,FQH,14,200.67,461.3,3,0.1765,4.67
Underwear,Men,Players,14,200.47,408.0,1,0.0667,14.0
Sleep & Lounge,Men,Crazeewear,14,197.09,517.3,0,0.0,
Sleep & Lounge,Men,American Apparel,14,193.12,532.0,1,0.0667,14.0
Pants & Capris,Women,Green Tea,14,192.46,349.3,0,0.0,
Fashion Hoodies & Sweatshirts,Women,Woman Within,14,191.91,419.86,0,0.0,
Skirts,Women,Mina,14,186.17,419.3,0,0.0,
Jumpsuits & Rompers,Women,alight,14,185.43,349.86,0,0.0,
Dresses,Women,MontyQ,14,183.71,378.0,0,0.0,
Swim,Women,ASICS,14,182.25,475.86,1,0.0667,14.0
Tops & Tees,Men,Walls,14,182.09,316.12,1,0.0667,14.0
Accessories,Women,Mud Pie,14,179.12,462.0,1,0.0667,14.0
Sleep & Lounge,Women,Nicole Miller,14,178.27,279.86,2,0.125,7.0
Socks,Men,Helly Hansen,14,176.69,297.2,1,0.0667,14.0
Tops & Tees,Men,TapouT,14,176.4,336.0,1,0.0667,14.0
Plus,Women,Comfort Colors,14,176.39,337.26,2,0.125,7.0
Shorts,Women,Sunner,14,169.83,350.0,3,0.1765,4.67
Tops & Tees,Men,Angry Birds,14,167.64,279.86,1,0.0667,14.0
Pants & Capris,Women,Bella,14,165.33,298.36,1,0.0667,14.0
Tops & Tees,Men,Sunrise Outlet,14,163.95,279.3,1,0.0667,14.0
Shorts,Women,Vigoss,14,162.4,350.0,1,0.0667,14.0
Pants,Men,Rocawear,14,160.3,350.0,1,0.0667,14.0
Accessories,Men,Mizuno,14,160.04,391.3,0,0.0,
Tops & Tees,Men,Christopher Walken,14,159.52,279.86,2,0.125,7.0
Plus,Women,Cinema Etoile,14,159.39,322.0,2,0.125,7.0
Tops & Tees,Women,Hollister,14,157.28,279.86,1,0.0667,14.0
Accessories,Women,Wear Leg Warmers,14,157.09,349.86,0,0.0,
Accessories,Men,GUESS,14,156.5,415.86,1,0.0667,14.0
Tops & Tees,Men,Dexter,14,155.57,279.3,2,0.125,7.0
Tops & Tees,Women,Annex Clothing,14,154.45,279.3,0,0.0,
Sleep & Lounge,Men,Stacy Adams,14,152.63,419.3,0,0.0,
Active,Men,Geoffrey Beene,14,150.66,371.98,0,0.0,
Accessories,Women,SwypeGloves,14,149.72,349.86,2,0.125,7.0
Tops & Tees,Women,Nyan Cat,14,147.77,279.86,0,0.0,
Maternity,Women,Belly Button,14,146.59,349.86,1,0.0667,14.0
Underwear,Men,DESMIIT,14,137.22,320.6,2,0.125,7.0
Fashion Hoodies & Sweatshirts,Women,Nittany Outlet,14,136.57,279.86,2,0.125,7.0
Tops & Tees,Men,Rapid Dominance,14,136.16,226.94,0,0.0,
Intimates,Women,Valmont,14,133.61,244.0,1,0.0667,14.0
Active,Men,House of Cheviot,14,133.08,349.3,2,0.125,7.0
Socks & Hosiery,Women,Pearl iZUMi,14,130.41,325.22,0,0.0,
Sleep & Lounge,Men,Easy,14,130.15,349.86,2,0.125,7.0
Accessories,Men,Kenneth Cole,14,130.15,349.86,2,0.125,7.0
Socks & Hosiery,Women,Pretty Polly,14,127.29,333.9,3,0.1765,4.67
Socks,Men,Minus33 Merino Wool,14,125.86,203.0,0,0.0,
Accessories,Women,Brooks,14,121.23,296.0,2,0.125,7.0
Sweaters,Women,Lynn Ritchie,14,118.14,279.3,1,0.0667,14.0
Intimates,Women,ShimmyShimmy,14,117.75,220.5,2,0.125,7.0
