brand,category,department,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
Penbrooke,Swim,Women,5,349.95,152.23,197.72,0.565
Horny Toad,Active,Men,4,351.8,154.44,197.36,0.561
IGIGI by Yuliya Raquel,Blazers & Jackets,Women,2,316.0,118.82,197.18,0.624
Mad Engine,Fashion Hoodies & Sweatshirts,Men,8,423.92,226.8,197.12,0.465
Ibex,Shorts,Women,10,421.2,224.1,197.1,0.4679
7 Diamonds,Fashion Hoodies & Sweatshirts,Men,5,395.0,197.9,197.1,0.499
Lobers,Accessories,Women,13,324.34,127.26,197.08,0.6076
Dickies Girl,Shorts,Women,20,392.77,196.06,196.71,0.5008
The TeaRoom,Sleep & Lounge,Men,7,349.3,152.64,196.66,0.563
Stella Elyse,Socks & Hosiery,Women,23,325.77,129.33,196.44,0.603
Nantucket Brand,Shorts,Men,6,404.0,207.69,196.31,0.4859
Shock Absorber,Plus,Women,5,395.0,199.08,195.92,0.496
Rory Beca,Shorts,Women,9,393.16,197.38,195.78,0.498
Enro,Tops & Tees,Men,6,417.0,221.43,195.57,0.469
eVogues Apparel,Fashion Hoodies & Sweatshirts,Women,12,380.88,185.48,195.4,0.513
Softies by Paddi Murphy,Sleep & Lounge,Women,5,469.0,273.69,195.31,0.4164
Fashion Victim,Skirts,Women,9,314.91,119.67,195.24,0.62
GUESS by Marciano,Jeans,Women,2,396.0,200.77,195.23,0.493
Nearly Me,Intimates,Women,8,394.85,199.76,195.09,0.4941
eloquii,Skirts,Women,9,324.5,129.41,195.09,0.6012
American Apparel,Jeans,Women,5,392.0,197.04,194.96,0.4973
PUMA,Socks,Men,38,483.0,288.16,194.84,0.4034
A:X Armani Exchange,Swim,Men,9,522.0,327.18,194.82,0.3732
UNIONBAY,Pants & Capris,Women,11,425.0,230.25,194.75,0.4582
Vista,Outerwear & Coats,Men,7,368.41,173.89,194.52,0.528
NEFF,Active,Men,7,314.65,120.2,194.45,0.618
Boutique 9,Shorts,Women,11,383.0,188.61,194.39,0.5075
Kenneth Cole,Shorts,Men,11,408.65,214.28,194.37,0.4756
Diesel,Pants & Capris,Women,6,415.26,220.92,194.34,0.468
Noble Mount,Sleep & Lounge,Men,10,329.9,135.86,194.04,0.5882
True Nation,Pants,Men,6,357.0,163.15,193.85,0.543
American Apparel,Sleep & Lounge,Men,8,304.0,110.35,193.65,0.637
M.Mac,Clothing Sets,Women,5,470.0,276.36,193.64,0.412
Rocky,Suits & Sport Coats,Men,5,299.95,106.48,193.47,0.645
Game Gear,Active,Women,21,333.5,140.16,193.34,0.5797
French Connection,Sweaters,Women,6,332.64,139.38,193.26,0.581
pennylanegifts,Fashion Hoodies & Sweatshirts,Men,10,435.36,242.17,193.19,0.4438
Linda Hartman,Intimates,Women,11,440.0,246.84,193.16,0.439
Ted Baker,Pants & Capris,Women,11,453.19,260.04,193.15,0.4262
Elan,Swim,Women,7,349.97,156.85,193.12,0.5518
Tokidoki,Fashion Hoodies & Sweatshirts,Men,4,390.0,196.95,193.05,0.495
Michael Kors,Jeans,Men,4,380.0,186.96,193.04,0.508
Torrid,Outerwear & Coats,Women,3,325.5,132.48,193.02,0.593
Ralph Lauren,Sleep & Lounge,Men,6,299.94,107.08,192.86,0.643
Cosi,Intimates,Women,10,387.0,194.44,192.56,0.4976
Horny Toad,Shorts,Men,7,376.04,183.51,192.53,0.512
Southpole,Active,Women,13,325.0,132.63,192.37,0.5919
JOHN DEERE,Outerwear & Coats,Men,4,319.96,127.66,192.3,0.601
Intimates Boutique,Intimates,Women,16,420.99,228.83,192.16,0.4565
Bus Stop,Clothing Sets,Women,8,447.92,255.76,192.16,0.429
Sympli,Pants & Capris,Women,4,456.0,264.02,191.98,0.421
Diesel,Shorts,Women,6,388.06,196.4,191.66,0.4939
Wickers,Underwear,Men,21,368.0,176.51,191.49,0.5203
Coffeeshop,Outerwear & Coats,Women,5,320.0,128.64,191.36,0.598
Prima Donna,Intimates,Women,3,374.4,183.08,191.32,0.511
IGIGI by Yuliya Raquel,Skirts,Women,5,310.0,118.73,191.27,0.617
IZOD,Jeans,Men,15,449.85,258.75,191.1,0.4248
Tempco,Sweaters,Men,8,367.92,176.83,191.09,0.5194
New Balance,Active,Women,13,346.97,156.05,190.92,0.5502
Grand River,Pants,Men,4,365.72,174.81,190.91,0.522
Georgie,Blazers & Jackets,Women,2,323.48,132.63,190.85,0.59
Goodhew,Socks,Men,17,484.5,293.79,190.71,0.3936
Buffalo by David Bitton,Tops & Tees,Men,9,422.88,232.41,190.47,0.4504
Kipling,Accessories,Women,9,338.0,147.7,190.3,0.563
LRG,Swim,Men,10,519.97,329.68,190.29,0.366
Quiksilver,Sweaters,Women,4,359.6,169.37,190.23,0.529
Kensie,Outerwear & Coats,Women,3,375.0,184.88,190.12,0.507
Capelli New York,Sleep & Lounge,Women,21,469.35,279.56,189.79,0.4044
necessary objects,Blazers & Jackets,Women,6,316.74,127.01,189.73,0.599
GRUNDENS,Outerwear & Coats,Men,4,360.0,170.28,189.72,0.527
Coolibar,Active,Women,8,314.95,125.35,189.6,0.602
Dorfman Pacific,Accessories,Women,12,300.78,111.22,189.56,0.6302
Lodis,Accessories,Women,7,325.4,135.88,189.52,0.5824
BCBGeneration,Shorts,Women,11,368.8,179.37,189.43,0.5136
Hanes,Tops & Tees,Women,28,439.08,249.66,189.42,0.4314
Victorian Heart Co. Inc.,Accessories,Women,13,311.35,122.19,189.16,0.6075
Sons Of Anarchy,Fashion Hoodies & Sweatshirts,Men,8,399.92,210.76,189.16,0.473
Haute Hippie,Shorts,Women,3,405.0,215.86,189.14,0.467
Nat Nast,Swim,Men,10,446.86,257.92,188.94,0.4228
RAB,Intimates,Women,4,379.8,191.04,188.76,0.497
KAVU,Skirts,Women,6,330.0,141.24,188.76,0.572
555 Turnpike,Shorts,Men,10,399.9,211.15,188.75,0.472
Perry Ellis,Tops & Tees,Men,12,423.0,234.38,188.62,0.4459
Smith,Accessories,Men,4,295.96,107.43,188.53,0.637
Rory Beca,Blazers & Jackets,Women,2,286.0,97.53,188.47,0.659
Generra,Sweaters,Men,11,384.75,196.4,188.35,0.4895
Croakies,Accessories,Women,26,302.85,114.58,188.27,0.6217
Ozone,Socks,Men,26,472.75,284.5,188.25,0.3982
Browning,Active,Men,7,314.79,126.55,188.24,0.598
Design Salt,Sleep & Lounge,Women,6,480.0,291.84,188.16,0.392
Pearl iZUMi,Accessories,Men,12,315.9,127.81,188.09,0.5954
Jockey,Tops & Tees,Men,8,442.0,253.99,188.01,0.4254
Jack,Fashion Hoodies & Sweatshirts,Women,5,375.0,187.12,187.88,0.501
Capezio,Active,Men,7,299.11,111.27,187.84,0.628
Altamont,Sweaters,Men,7,392.0,204.23,187.77,0.479
KAVU,Shorts,Women,8,400.0,212.4,187.6,0.469
Smith,Plus,Women,5,369.95,182.39,187.56,0.507
Casual Socks,Plus,Women,13,359.87,172.38,187.49,0.521
boxed-gifts,Suits & Sport Coats,Men,12,309.88,122.59,187.29,0.6044
Bailey 44,Pants & Capris,Women,4,400.16,212.89,187.27,0.468
Leonardo Valenti,Pants,Men,3,360.0,172.8,187.2,0.52
Marmot,Active,Women,3,300.0,112.8,187.2,0.624
Carol Wright Gifts,Intimates,Women,23,397.71,210.54,187.17,0.4706
Eco Swim,Swim,Women,5,320.0,133.12,186.88,0.584
Zero Restriction,Active,Men,2,319.98,133.11,186.87,0.584
Kangol,Accessories,Women,7,336.0,149.18,186.82,0.556
La Fee Verte,Intimates,Women,5,375.0,188.25,186.75,0.498
Jones New York,Leggings,Women,4,476.0,289.41,186.59,0.392
Dunbrooke,Blazers & Jackets,Women,5,299.95,113.38,186.57,0.622
Wacoal,Active,Women,5,325.0,138.45,186.55,0.574
Earnest Sewn,Sweaters,Men,3,406.35,219.84,186.51,0.459
Silver Edition,Pants,Men,8,359.96,173.5,186.46,0.518
Van Heusen,Socks,Men,28,448.0,261.54,186.46,0.4162
Leather Gloves Online,Accessories,Women,8,311.6,125.26,186.34,0.598
MEK Denim,Jeans,Women,3,405.0,218.7,186.3,0.46
Wolverine,Accessories,Men,13,309.0,122.71,186.29,0.6029
Allen Allen,Shorts,Women,6,384.0,197.76,186.24,0.485
KAVU,Pants,Men,4,319.8,133.68,186.12,0.582
Sox Shop,Socks,Men,15,485.0,298.89,186.11,0.3837
Ulla Popken,Leggings,Women,9,441.0,254.9,186.1,0.422
PacSun,Outerwear & Coats,Women,6,327.0,140.94,186.06,0.569
Lacoste,Accessories,Men,7,315.0,129.15,185.85,0.59
Girlfriends Material,Shorts,Women,7,349.3,163.47,185.83,0.532
Sourpuss Clothing,Fashion Hoodies & Sweatshirts,Women,7,385.0,199.43,185.57,0.482
Mothers en Vogue,Maternity,Women,6,332.25,146.74,185.51,0.5583
ililily,Leggings,Women,25,465.75,280.39,185.36,0.398
Golds Gym,Active,Men,14,307.3,121.95,185.35,0.6032
ANSAI,Active,Women,2,309.14,123.97,185.17,0.599
J. America,Fashion Hoodies & Sweatshirts,Women,9,325.47,140.63,184.84,0.5679
Brooks,Active,Women,9,345.0,160.23,184.77,0.5356
Grandoe,Accessories,Women,6,299.94,115.18,184.76,0.616
Ralph by Ralph Lauren,Accessories,Women,5,297.9,113.2,184.7,0.62
Silly yogi,Shorts,Men,10,380.0,195.32,184.68,0.486
55DSL,Fashion Hoodies & Sweatshirts,Women,5,375.0,190.5,184.5,0.492
Jones New York,Fashion Hoodies & Sweatshirts,Women,6,384.0,199.68,184.32,0.48
Miss Elaine,Sleep & Lounge,Women,11,467.64,283.48,184.16,0.3938
Ali Ro,Dresses,Women,2,317.52,133.36,184.16,0.58
SmartWool,Fashion Hoodies & Sweatshirts,Women,3,330.0,145.86,184.14,0.558
Coal,Accessories,Men,13,300.0,115.92,184.08,0.6136
Adriana,Sleep & Lounge,Women,11,445.95,262.03,183.92,0.4124
Orvis,Swim,Men,9,441.0,257.1,183.9,0.417
Vertx,Active,Men,6,329.7,146.06,183.64,0.557
econscious,Tops & Tees,Men,10,399.9,216.35,183.55,0.459
Reebok,Socks,Men,29,450.0,266.89,183.11,0.4069
Tommy Hilfiger,Plus,Women,11,360.93,177.97,182.96,0.5069
Harriton,Active,Men,7,307.93,125.02,182.91,0.594
Green Tea,Fashion Hoodies & Sweatshirts,Women,16,367.36,184.45,182.91,0.4979
The Beach Depot,Swim,Women,11,329.45,146.55,182.9,0.5552
Hanes,Active,Women,28,309.97,127.07,182.9,0.59
Sakkas,Tops & Tees,Men,9,449.91,267.1,182.81,0.4063
dollhouse,Jeans,Women,11,391.25,208.62,182.63,0.4668
Ferretti,Suits & Sport Coats,Men,3,299.85,117.24,182.61,0.609
KUT from the Kloth,Fashion Hoodies & Sweatshirts,Women,9,371.07,188.63,182.44,0.4917
Native Eyewear,Plus,Women,5,368.55,186.12,182.43,0.495
G by GUESS,Blazers & Jackets,Women,4,318.0,135.79,182.21,0.573
Kings' Court,Pants,Men,5,332.95,150.83,182.12,0.547
Woman Within,Swim,Women,5,304.95,122.89,182.06,0.597
Trafalgar,Accessories,Men,5,300.0,118.2,181.8,0.606
BUDSHOP,Fashion Hoodies & Sweatshirts,Men,7,389.93,208.17,181.76,0.4661
Oakley,Jeans,Men,5,400.0,218.4,181.6,0.454
Arbor,Skirts,Women,7,307.65,126.14,181.51,0.59
Darn Tough,Active,Women,9,309.55,128.48,181.07,0.5849
Scottevest,Shorts,Men,7,385.0,204.05,180.95,0.47
LabelShopper,Sweaters,Women,20,329.8,148.87,180.93,0.5486
Capelli New York,Swim,Women,29,307.71,127.13,180.58,0.5868
A:X Armani Exchange,Dresses,Women,4,352.0,171.42,180.58,0.513
LANHUACAO,Outerwear & Coats,Women,5,349.95,169.45,180.5,0.5158
TRUNKS,Underwear,Men,6,324.0,143.53,180.47,0.557
Helmut Lang,Sweaters,Men,6,359.94,179.61,180.33,0.501
GM,Tops & Tees,Men,11,439.89,259.66,180.23,0.4097
Brooklyn Industries,Fashion Hoodies & Sweatshirts,Men,5,420.0,239.82,180.18,0.429
Nike,Tops & Tees,Women,7,419.93,239.78,180.15,0.429
Julie France,Intimates,Women,8,382.12,202.18,179.94,0.4709
Southpole,Outerwear & Coats,Women,8,319.92,140.04,179.88,0.5623
Elle Macpherson Intimates,Maternity,Women,7,315.0,135.14,179.86,0.571
Walls,Outerwear & Coats,Women,12,330.96,151.13,179.83,0.5434
Bloomingdale's,Blazers & Jackets,Women,4,313.84,134.01,179.83,0.573
Longitude Swimwear,Swim,Women,5,299.95,120.28,179.67,0.599
Tommy Hilfiger,Socks,Men,20,427.4,247.8,179.6,0.4202
JiMarti,Plus,Women,12,344.4,164.98,179.42,0.521
Flying Tomato,Skirts,Women,8,312.0,132.6,179.4,0.575
Olian,Sleep & Lounge,Women,4,448.0,268.8,179.2,0.4
Democracy,Sweaters,Women,9,340.48,161.28,179.2,0.5263
Golds Gym,Tops & Tees,Men,22,410.9,231.72,179.18,0.4361
PacSun,Blazers & Jackets,Women,7,276.5,97.6,178.9,0.647
55DSL,Sweaters,Men,6,334.84,155.97,178.87,0.5342
National,Dresses,Women,15,336.25,157.43,178.82,0.5318
Cornerstone,Pants,Men,12,323.72,145.19,178.53,0.5515
Capelli New York,Socks & Hosiery,Women,25,296.55,118.09,178.46,0.6018
Condor,Outerwear & Coats,Men,6,317.4,139.02,178.38,0.562
Anue,Pants & Capris,Women,5,399.75,221.46,178.29,0.446
Clever,Swim,Men,11,438.0,259.73,178.27,0.407
Jumpin Jammerz,Fashion Hoodies & Sweatshirts,Women,7,349.93,171.87,178.06,0.5089
Horny Toad,Skirts,Women,5,299.75,121.7,178.05,0.594
Chaos,Accessories,Women,11,292.76,114.87,177.89,0.6076
Carve Designs,Skirts,Women,7,291.85,114.15,177.7,0.6089
Anew,Maternity,Women,4,337.12,159.79,177.33,0.526
English Laundry,Tops & Tees,Men,11,439.89,262.56,177.33,0.4031
Eddie Bauer,Shorts,Women,8,359.6,182.32,177.28,0.493
High Style,Tops & Tees,Women,25,409.75,232.58,177.17,0.4324
Liberty,Jeans,Men,7,388.43,211.31,177.12,0.456
Fruit of the Loom,Active,Men,22,300.47,123.37,177.1,0.5894
District,Fashion Hoodies & Sweatshirts,Women,9,323.91,146.97,176.94,0.5463
ShaToBu,Intimates,Women,9,342.0,165.19,176.81,0.517
Port & Company,Tops & Tees,Men,20,376.62,200.01,176.61,0.4689
Neon Buddha,Sweaters,Women,3,351.0,174.45,176.55,0.503
Horny Toad,Dresses,Women,4,334.68,158.3,176.38,0.527
J America,Fashion Hoodies & Sweatshirts,Men,10,402.26,225.89,176.37,0.4385
Wallflower,Shorts,Women,23,354.95,178.89,176.06,0.496
VIP BOUTIQUE,Sweaters,Women,19,313.31,137.39,175.92,0.5615
2b by bebe,Blazers & Jackets,Women,6,299.7,123.78,175.92,0.587
Diamond Plate,Outerwear & Coats,Men,8,311.6,135.86,175.74,0.564
Dallin Chase,Jumpsuits & Rompers,Women,6,348.0,172.26,175.74,0.505
Xscape,Skirts,Women,6,278.76,103.14,175.62,0.63
Alpha Industries,Sweaters,Men,5,336.0,160.61,175.39,0.522
MAXSTUDIO,Skirts,Women,3,294.0,118.78,175.22,0.596
CB,Outerwear & Coats,Women,5,299.95,124.78,175.17,0.584
Brandy Melville,Sweaters,Women,5,315.0,139.86,175.14,0.556
Maggy London,Dresses,Women,3,314.97,139.85,175.12,0.556
Dakota Grizzly,Fashion Hoodies & Sweatshirts,Men,5,374.75,199.74,175.01,0.467
Lord Daniels,Swim,Men,8,448.48,273.57,174.91,0.39
Trina Turk,Shorts,Women,4,367.4,192.52,174.88,0.476
Callaway,Active,Men,7,309.94,135.06,174.88,0.5642
High Style,Leggings,Women,26,439.8,264.94,174.86,0.3976
prAna,Sweaters,Women,3,329.85,155.03,174.82,0.53
Red Kap,Outerwear & Coats,Men,7,314.93,140.14,174.79,0.555
CCV Inc,Leggings,Women,8,439.92,265.38,174.54,0.3967
TheLees,Tops & Tees,Men,16,381.44,206.99,174.45,0.4573
Dakine,Accessories,Men,15,284.75,110.37,174.38,0.6124
Trash Nouveau,Sweaters,Men,6,341.88,167.52,174.36,0.51
Fossil,Accessories,Women,5,275.0,100.65,174.35,0.634
Hudson,Pants & Capris,Women,2,352.0,177.76,174.24,0.495
Motherhood Maternity,Intimates,Women,17,378.66,204.54,174.12,0.4598
Tops and Bottoms HS,Sweaters,Women,14,334.95,161.17,173.78,0.5188
Fellini Uomo,Suits & Sport Coats,Men,3,297.0,123.25,173.75,0.585
O'Neill,Outerwear & Coats,Women,4,319.96,146.22,173.74,0.543
Splendid,Shorts,Women,12,360.5,186.79,173.71,0.4818
Jessica Simpson,Socks & Hosiery,Women,16,300.0,126.33,173.67,0.5789
The Irish Linen Store,Sleep & Lounge,Women,8,479.92,306.31,173.61,0.3617
O'Neill,Skirts,Women,6,276.0,102.4,173.6,0.629
Pendleton,Fashion Hoodies & Sweatshirts,Men,4,384.0,210.43,173.57,0.452
Stetson,Accessories,Men,4,312.0,138.53,173.47,0.556
My Michelle,Jumpsuits & Rompers,Women,6,354.0,180.54,173.46,0.49
Calvin Klein Jeans,Suits & Sport Coats,Men,2,299.0,125.58,173.42,0.58
Frankie B.,Shorts,Women,14,332.5,159.13,173.37,0.5214
CUA,Underwear,Men,38,333.3,159.98,173.32,0.52
Collegiate Surf and Sport,Swim,Men,13,442.0,268.74,173.26,0.392
Andrew Christian,Sleep & Lounge,Men,5,295.0,121.83,173.17,0.587
SlideBelts,Accessories,Men,6,269.7,96.55,173.15,0.642
Intimo,Intimates,Women,11,348.8,175.86,172.94,0.4958
KUT from the Kloth,Outerwear & Coats,Women,4,295.92,123.4,172.52,0.583
,Tops & Tees,Men,17,401.93,229.43,172.5,0.4292
La Fiorentina,Accessories,Women,16,299.91,127.5,172.41,0.5749
Ulla Popken,Sweaters,Women,5,310.0,137.62,172.38,0.5561
Smith Optics,Accessories,Women,4,269.2,97.18,172.02,0.639
Croker clothing,Fashion Hoodies & Sweatshirts,Men,8,359.6,187.71,171.89,0.478
Kuhl,Fashion Hoodies & Sweatshirts,Men,4,396.0,224.14,171.86,0.434
Andrew Christian,Fashion Hoodies & Sweatshirts,Men,6,354.0,182.31,171.69,0.485
Samanthas Style Shoppe,Plus,Women,16,341.52,169.83,171.69,0.5027
Cecilia de Rafael,Socks & Hosiery,Women,17,303.33,131.71,171.62,0.5658
Bigmansland,Fashion Hoodies & Sweatshirts,Men,6,377.94,206.36,171.58,0.454
Illusion,Intimates,Women,26,351.65,180.1,171.55,0.4878
G by GUESS,Fashion Hoodies & Sweatshirts,Women,7,346.5,174.98,171.52,0.495
Canterbury of New Zealand,Sweaters,Men,5,313.5,142.02,171.48,0.547
Quiksilver,Suits & Sport Coats,Men,3,298.5,127.16,171.34,0.574
Gore,Socks,Men,6,419.94,248.6,171.34,0.408
John Deere,Active,Women,9,294.3,122.98,171.32,0.5821
Kiyonna,Clothing Sets,Women,5,440.0,268.84,171.16,0.389
Equmen,Underwear,Men,3,297.0,125.93,171.07,0.576
Hydraulic,Fashion Hoodies & Sweatshirts,Women,4,300.0,129.0,171.0,0.57
Cool-jams Wicking Sleepwear,Underwear,Men,5,325.0,154.7,170.3,0.524
Ulla Popken,Intimates,Women,12,338.0,167.79,170.21,0.5036
Port Authority,Fashion Hoodies & Sweatshirts,Women,7,316.38,146.18,170.2,0.5379
Undefeated,Active,Men,5,274.95,104.76,170.19,0.619
Plan B,Sleep & Lounge,Men,4,278.0,107.86,170.14,0.612
Soybu,Active,Women,7,293.0,122.9,170.1,0.5805
ThatsRad,Accessories,Men,18,292.82,122.78,170.04,0.5807
X-Gear,Accessories,Men,19,284.81,114.93,169.88,0.5965
bebe,Pants & Capris,Women,3,375.0,205.13,169.87,0.453
IZOD,Suits & Sport Coats,Men,3,299.97,130.19,169.78,0.566
Arbor,Fashion Hoodies & Sweatshirts,Men,5,374.75,204.99,169.76,0.453
Akademiks,Pants,Men,5,320.0,150.4,169.6,0.53
Sam & Lavi,Dresses,Women,2,310.0,140.43,169.57,0.547
Levi's,Tops & Tees,Men,12,383.31,213.74,169.57,0.4424
Preggers,Maternity,Women,11,302.93,133.49,169.44,0.5593
Southpole,Pants & Capris,Women,14,372.0,202.57,169.43,0.4555
Rafaella,Blazers & Jackets,Women,5,265.9,96.52,169.38,0.637
Parfait,Intimates,Women,6,390.0,220.74,169.26,0.434
Wheel House Designs,Socks & Hosiery,Women,20,279.8,110.9,168.9,0.6037
O'Neill,Sweaters,Men,7,342.79,174.14,168.65,0.492
Calvin Klein,Shorts,Women,14,354.42,185.82,168.6,0.4757
Elomi,Maternity,Women,5,296.7,128.21,168.49,0.5679
Spanx,Underwear,Men,6,348.0,179.57,168.43,0.484
Cutter & Buck,Swim,Men,6,419.94,251.54,168.4,0.401
TAVIK,Fashion Hoodies & Sweatshirts,Men,5,399.95,231.57,168.38,0.421
Ibex,Shorts,Men,4,316.0,147.89,168.11,0.532
American Apparel,Underwear,Men,25,340.0,171.91,168.09,0.4944
Socksmith,Socks & Hosiery,Women,20,273.8,105.75,168.05,0.6138
Anne Klein,Plus,Women,20,346.91,178.98,167.93,0.4841
Rusty,Fashion Hoodies & Sweatshirts,Women,4,312.0,144.14,167.86,0.538
SmartWool,Sleep & Lounge,Women,4,375.84,208.0,167.84,0.4466
Princeton,Sweaters,Men,3,354.0,186.2,167.8,0.474
Squeem Magical Lingerie,Underwear,Men,3,294.84,127.08,167.76,0.569
Affliction,Shorts,Men,8,359.92,192.2,167.72,0.466
Rip Curl,Swim,Women,7,286.3,118.6,167.7,0.5858
CEP,Active,Men,5,299.75,132.19,167.56,0.559
Karl Lagerfeld for Impulse,Shorts,Women,7,308.0,140.45,167.55,0.544
Ibex,Intimates,Women,6,370.0,202.48,167.52,0.4528
Jackson,Jeans,Men,14,350.0,182.5,167.5,0.4786
Peter Nyg̴rd,Blazers & Jackets,Women,3,267.0,99.59,167.41,0.627
Maidenform,Maternity,Women,13,302.0,134.61,167.39,0.5543
Chicastic,Intimates,Women,12,359.88,192.66,167.22,0.4647
Vineyard Vines,Swim,Men,6,419.94,252.8,167.14,0.398
ULTRAFINO PANAMA HAT,Plus,Women,9,347.91,180.83,167.08,0.4802
Flakisima,Intimates,Women,8,359.92,192.92,167.0,0.464
Arena,Sleep & Lounge,Men,4,280.0,113.12,166.88,0.596
Lacoste,Tops & Tees,Women,4,358.0,191.17,166.83,0.466
METROPARK,Blazers & Jackets,Women,7,279.3,112.56,166.74,0.597
Tommy Hilfiger,Shorts,Men,7,326.14,159.55,166.59,0.5108
Metal Mulisha,Outerwear & Coats,Men,3,297.0,130.68,166.32,0.56
Neon Buddha,Skirts,Women,4,256.0,89.86,166.14,0.649
Sugoi,Socks,Men,10,400.0,234.0,166.0,0.415
Swill,Fashion Hoodies & Sweatshirts,Men,7,399.0,233.02,165.98,0.416
DesignSK,Accessories,Men,10,289.9,124.37,165.53,0.571
Curve Appeal,Plus,Women,16,337.88,172.36,165.52,0.4899
Rivers' End,Outerwear & Coats,Men,6,299.94,134.67,165.27,0.551
Marc by Marc Jacobs,Pants & Capris,Women,2,359.98,194.75,165.23,0.459
Sucette Rose,Active,Women,3,294.0,128.77,165.23,0.562
Perry,Accessories,Men,12,273.43,108.25,165.18,0.6041
Weatherproof,Shorts,Men,13,312.71,147.62,165.09,0.5279
Guide Gear,Active,Men,9,294.91,129.94,164.97,0.5594
Tart,Leggings,Women,4,424.0,259.06,164.94,0.389
Fun Boxers,Underwear,Men,20,322.0,157.2,164.8,0.5118
Gongshow,Fashion Hoodies & Sweatshirts,Men,5,399.95,235.25,164.7,0.4118
Golds Gym,Fashion Hoodies & Sweatshirts,Men,8,399.6,234.96,164.64,0.412
Ice,Pants & Capris,Women,13,354.87,190.23,164.64,0.464
Bella Materna,Intimates,Women,6,390.0,225.42,164.58,0.422
FITS Sock Company,Socks,Men,22,410.78,246.25,164.53,0.4005
Toddland,Underwear,Men,13,304.0,139.69,164.31,0.5405
bebe,Shorts,Women,5,345.0,180.78,164.22,0.476
Barefoot Dreams,Fashion Hoodies & Sweatshirts,Women,3,285.0,121.12,163.88,0.575
Under Armour,Fashion Hoodies & Sweatshirts,Women,4,299.96,136.18,163.78,0.546
ANS,Shorts,Men,11,327.0,163.54,163.46,0.4999
Coolibar,Accessories,Women,5,295.0,131.57,163.43,0.554
Alternative,Sweaters,Men,6,336.0,172.7,163.3,0.486
SY,Intimates,Women,15,355.0,191.81,163.19,0.4597
Robert Graham,Sweaters,Men,3,336.42,173.26,163.16,0.485
LNA,Sweaters,Women,3,297.0,133.95,163.05,0.549
Ralph Lauren,Accessories,Men,9,279.86,116.82,163.04,0.5826
Vera Want,Sleep & Lounge,Women,10,420.0,257.04,162.96,0.388
Oakley,Sweaters,Men,5,300.0,137.1,162.9,0.543
Mud Pie,Accessories,Women,8,264.0,101.11,162.89,0.617
Jon & Anna,Dresses,Women,11,285.89,123.27,162.62,0.5688
Boxercraft,Fashion Hoodies & Sweatshirts,Women,14,323.89,161.32,162.57,0.5019
Fox River Socks,Accessories,Men,9,281.07,118.61,162.46,0.578
Marc Ecko,Fashion Hoodies & Sweatshirts,Men,9,362.06,199.69,162.37,0.4485
Rosa Faia by Anita,Intimates,Women,5,345.0,182.85,162.15,0.47
Annabelle,Sweaters,Women,11,296.89,134.84,162.05,0.5458
UNIONBAY,Shorts,Women,12,342.56,180.52,162.04,0.473
Smith Optics,Accessories,Men,4,279.8,117.8,162.0,0.579
DTL Down The Line Sportswear Inc.,Active,Women,5,260.0,98.02,161.98,0.623
Snoozies,Plus,Women,24,333.12,171.18,161.93,0.4861
Allegra K,Intimates,Women,73,348.45,186.6,161.85,0.4645
Gracia,Blazers & Jackets,Women,9,261.0,99.18,161.82,0.62
Just One,Leggings,Women,21,406.42,244.76,161.66,0.3978
Cowgirl Tuff,Jeans,Women,4,383.96,222.31,161.65,0.421
Electric,Suits & Sport Coats,Men,4,259.96,98.52,161.44,0.621
Robinson,Sleep & Lounge,Men,10,280.08,118.7,161.38,0.5762
Bosca,Accessories,Men,4,280.0,118.72,161.28,0.576
Tory Burch,Accessories,Women,3,249.54,88.34,161.2,0.646
Pashmina,Plus,Women,8,315.92,154.8,161.12,0.51
NEFF,Accessories,Women,13,278.43,117.35,161.08,0.5785
LAT Sportswear,Swim,Women,15,296.3,135.27,161.03,0.5435
Allen Allen,Tops & Tees,Women,8,374.0,213.05,160.95,0.4303
Aloha,Swim,Women,6,299.94,139.17,160.77,0.536
Alia,Pants & Capris,Women,8,320.0,159.36,160.64,0.502
Anna-Kaci,Sweaters,Women,12,292.8,132.2,160.6,0.5485
Jack O'Neill,Shorts,Men,5,297.25,136.74,160.52,0.54
Joe Snyder,Swim,Men,16,407.0,246.52,160.48,0.3943
Sutton Studio,Sleep & Lounge,Women,3,419.97,259.54,160.43,0.382
H,Sleep & Lounge,Women,8,375.6,215.22,160.38,0.427
Kensie,Shorts,Women,7,295.12,134.87,160.25,0.543
Ezekiel,Shorts,Men,8,294.0,134.06,159.94,0.544
Nursing Mamas,Maternity,Women,7,292.0,132.08,159.92,0.5477
Foot Traffic,Plus,Women,26,318.37,158.47,159.9,0.5022
Alternative,Pants & Capris,Women,8,360.0,200.16,159.84,0.444
alight,Skirts,Women,11,274.89,115.05,159.84,0.5815
Big Feet Pajama Co.,Sleep & Lounge,Men,6,269.94,110.14,159.8,0.592
Emerica,Jeans,Men,6,359.7,199.99,159.71,0.444
Weatherproof,Active,Men,8,291.12,131.59,159.53,0.548
Escante,Intimates,Women,4,309.04,149.58,159.46,0.516
Scarf_tradinginc,Accessories,Women,27,257.44,98.53,158.91,0.6173
Laguna Beach Jean Company,Jeans,Women,5,349.95,191.07,158.88,0.454
