brand,category,department,units_sold_90d,sales_dollars_90d,inventory_units,inventory_cost,unit_cover_ratio,action_flag
DTA SECURED BY ROGUE STATUS,Tops & Tees,Men,3,65.850002288818359,24,312.39241005746106,8,Markdown Risk
MV Sport,Fashion Hoodies & Sweatshirts,Women,2,65.800003051757812,8,126.59920603238345,4,Markdown Risk
Ted Baker,Pants & Capris,Women,1,65.610000610351562,23,625.32896346669384,23,Markdown Risk
Volcom,Jumpsuits & Rompers,Women,2,65.580001831054688,38,674.12448837492752,19,Markdown Risk
Game Gear,Active,Women,4,65.5,33,207.86800103262067,8.25,Markdown Risk
Walls,Outerwear & Coats,Women,2,65.160001754760742,24,397.76321298725429,12,Markdown Risk
GUESS,Swim,Women,1,65,5,130.65000083297494,5,Markdown Risk
Stockings and Romance,Intimates,Women,1,65,8,297.43999935686594,8,Markdown Risk
DreamSacks,Sleep & Lounge,Men,1,65,23,576.61499832291156,23,Markdown Risk
Marmot,Shorts,Women,1,65,4,133.89999991282818,4,Markdown Risk
Parfait,Intimates,Women,1,65,9,331.10999870114028,9,Markdown Risk
IZOD,Fashion Hoodies & Sweatshirts,Women,1,65,11,297.09780088801381,11,Markdown Risk
Parfait by Affinitas,Intimates,Women,1,65,2,68.249999927356839,2,Margin Watch
Dosh,Plus,Women,1,65,18,667.41999996826053,18,Markdown Risk
Florsheim,Socks,Men,3,65,77,790.42500187410042,25.67,Markdown Risk
Arc'teryx,Active,Men,1,65,12,425.39249402755866,12,Markdown Risk
Living Dead Souls,Fashion Hoodies & Sweatshirts,Women,3,65,19,216.64500041864812,6.33,Markdown Risk
Dosh,Accessories,Men,1,65,46,1154.4079954642802,46,Markdown Risk
Stetson,Jeans,Men,1,64.989997863769531,13,431.72855575866282,13,Markdown Risk
BG,Fashion Hoodies & Sweatshirts,Men,1,64.989997863769531,20,649.55619068842657,20,Markdown Risk
DGK,Active,Men,1,64.989997863769531,13,348.9312998587755,13,Markdown Risk
Zanerobe,Jeans,Men,1,64.9800033569336,6,201.56797004719914,6,Markdown Risk
1vemoon,Fashion Hoodies & Sweatshirts,Women,2,64.980001449584961,31,465.86909591312906,15.5,Markdown Risk
Mimi San,Skirts,Women,2,64.980001449584961,20,247.37460451434336,10,Markdown Risk
Hot from Hollywood,Pants & Capris,Women,2,64.980001449584961,21,393.64798353325165,10.5,Markdown Risk
Canyon Ridge,Sweaters,Men,3,64.969999313354492,37,559.69079847791488,12.33,Markdown Risk
Helly Hansen,Shorts,Men,1,64.949996948242188,24,707.69516660867885,24,Markdown Risk
Kuhl,Shorts,Men,1,64.949996948242188,14,415.55007914699024,14,Markdown Risk
Aqua Sphere,Swim,Women,1,64.949996948242188,13,316.54128371849191,13,Markdown Risk
Columbia,Jeans,Men,1,64.949996948242188,10,368.91598143687116,10,Markdown Risk
Leon Levin,Sweaters,Women,1,64.949996948242188,13,341.11738326758746,13,Markdown Risk
Eddie Bauer,Sweaters,Men,1,64.949996948242188,14,491.93127791575779,14,Markdown Risk
ASICS,Tops & Tees,Women,2,64.94000244140625,60,1133.1498925612507,30,Markdown Risk
boxed-gifts,Leggings,Women,8,64.919998168945312,121,583.09878477814857,15.13,Markdown Risk
KENTWOOL,Socks,Men,3,64.89000129699707,36,472.08715210163626,12,Markdown Risk
Wrangler,Outerwear & Coats,Men,1,64.69000244140625,37,843.77966757526315,37,Markdown Risk
Paul Fredrick,Tops & Tees,Men,1,64.5,12,431.11799894180149,12,Markdown Risk
Electric,Accessories,Men,1,64.5,29,764.58620501268683,29,Markdown Risk
Elomi,Intimates,Women,1,64.3499984741211,18,606.383088049279,18,Markdown Risk
Kushcush,Swim,Women,1,64.169998168945312,9,244.29518407693919,9,Markdown Risk
TVTimeDirect,Intimates,Women,2,64,25,419.23199960589409,12.5,Markdown Risk
Lanz of Salzburg,Sleep & Lounge,Women,1,64,5,184.32000041007996,5,Markdown Risk
Coffeeshop,Outerwear & Coats,Women,1,64,6,154.36799955368042,6,Markdown Risk
Lysse Leggings,Leggings,Women,1,64,10,397.4400007724762,10,Markdown Risk
Crooks and Castles,Fashion Hoodies & Sweatshirts,Men,1,64,19,706.496000289917,19,Markdown Risk
Jones New York,Fashion Hoodies & Sweatshirts,Women,1,64,13,432.64000117778778,13,Markdown Risk
Jones New York,Plus,Women,1,64,5,158.71999993920323,5,Markdown Risk
Allen Allen,Shorts,Women,1,64,13,428.47999972105026,13,Markdown Risk
Under Armour,Intimates,Women,1,63.9900016784668,4,135.65880338671505,4,Markdown Risk
Patty,Fashion Hoodies & Sweatshirts,Women,1,63.9900016784668,9,270.10179744363177,9,Markdown Risk
Vobaga,Sweaters,Women,2,63.980001449584961,49,831.7656715348927,24.5,Markdown Risk
Diamond Chain,Socks,Men,2,63.979999542236328,22,421.24431750948776,11,Markdown Risk
Patty,Maternity,Women,2,63.979999542236328,20,284.80318879093585,10,Markdown Risk
Kavio,Dresses,Women,2,63.979999542236328,11,175.24121863082678,5.5,Markdown Risk
Jedzebel,Skirts,Women,2,63.979999542236328,14,162.12531871990149,7,Markdown Risk
Artwedding,Intimates,Women,4,63.959999084472656,80,749.25510910363255,20,Markdown Risk
likemary,Maternity,Women,2,63.950000762939453,41,520.69785158609091,20.5,Markdown Risk
Skelapparel,Dresses,Women,1,63.950000762939446,34,932.6821318647211,34,Markdown Risk
Adventure Time,Tops & Tees,Men,3,63.940000534057617,49,589.3778238810113,16.33,Markdown Risk
Element,Tops & Tees,Men,2,63.900001525878906,16,308.7648065655946,8,Markdown Risk
Grand River,Jeans,Men,1,63.830001831054688,33,1269.4690787496186,33,Markdown Risk
Romance,Intimates,Women,3,63.709999084472656,39,429.11174963874504,13,Markdown Risk
NEFF,Accessories,Women,4,63.179998397827141,23,181.66199945516888,5.75,Markdown Risk
Hanes,Active,Women,5,63.15000057220459,59,287.85911861628051,11.8,Markdown Risk
Tripp NYC,Leggings,Women,1,63,21,762.21750648021043,21,Markdown Risk
Brandy Melville,Sweaters,Women,1,63,7,195.80399964842948,7,Markdown Risk
Pistil,Plus,Women,3,63,12,123.73200009763241,4,Markdown Risk
Bigmansland,Fashion Hoodies & Sweatshirts,Men,1,62.9900016784668,15,515.8881142710992,15,Markdown Risk
Luxury Divas,Plus,Women,5,62.959999084472656,53,406.97000496894918,10.6,Markdown Risk
Champion,Underwear,Men,4,62.959999084472656,124,1135.7171785672822,31,Markdown Risk
Aqua,Sweaters,Women,4,62.950000762939446,28,209.58136183164947,7,Markdown Risk
Nollia,Leggings,Women,7,62.929998397827148,87,466.11350876295637,12.43,Markdown Risk
Anna-Kaci,Dresses,Women,2,62.80000114440918,39,566.25131102819864,19.5,Markdown Risk
Canterbury of New Zealand,Sweaters,Men,1,62.700000762939446,6,170.41860267909769,6,Markdown Risk
Carhartt,Pants & Capris,Women,1,62.360000610351562,27,1111.8406151844315,27,Markdown Risk
Chestnut Hill,Sweaters,Men,2,62.080001831054688,23,505.82778101037559,11.5,Markdown Risk
Le Mystere,Plus,Women,1,62,27,921.31001323643329,27,Markdown Risk
J Valdi,Swim,Women,1,62,23,461.23956308850882,23,Markdown Risk
IGIGI by Yuliya Raquel,Skirts,Women,1,62,10,237.45999850332737,10,Markdown Risk
French Connection,Pants,Men,1,61.9900016784668,22,640.24522526433248,22,Markdown Risk
Only Necessities,Sleep & Lounge,Women,2,61.980001449584961,49,953.60541152701751,24.5,Markdown Risk
Teez-Her,Leggings,Women,3,61.789999008178718,33,427.86420399305706,11,Markdown Risk
Two Dog Island,Fashion Hoodies & Sweatshirts,Women,1,61.5,8,250.91999989002943,8,Markdown Risk
BULWARK FR Clothing,Jeans,Men,1,61.2400016784668,11,379.93297120621145,11,Markdown Risk
Breast is Best,Maternity,Women,2,61.200000762939453,19,251.10315386677959,9.5,Markdown Risk
Electric,Accessories,Women,1,61.150001525878906,24,563.290652160412,24,Markdown Risk
,Accessories,Women,5,61.130000114440918,0,0,0,Margin Watch
Fruit of the Loom,Socks,Men,5,60.989999771118164,137,1053.5745963447037,27.4,Markdown Risk
JNCO,Tops & Tees,Women,3,60.989999771118164,17,201.97832852847324,5.67,Markdown Risk
CEP Compression Socks,Socks & Hosiery,Women,1,60.75,14,362.3129991889,14,Markdown Risk
Gem Avenue,Accessories,Women,4,60.719999313354492,33,229.91422725041613,8.25,Markdown Risk
Dickies Girl,Shorts,Women,3,60.590000152587891,48,483.10598888776076,16,Markdown Risk
Horny Toad,Shorts,Women,1,60.520000457763672,23,703.03652609326627,23,Markdown Risk
Barely There,Plus,Women,4,60.410000801086426,58,555.134924001696,14.5,Markdown Risk
Dorfman Pacific,Plus,Women,3,60.309999465942383,22,277.65054793294217,7.33,Markdown Risk
Timberland,Shorts,Men,1,60,4,119.75999998860063,4,Markdown Risk
Boob,Maternity,Women,1,60,3,81.720000319182859,3,Markdown Risk
IZOD,Active,Men,1,60,10,267.000001296401,10,Markdown Risk
Alfred Dunner,Outerwear & Coats,Women,1,60,3,77.7600000053644,3,Markdown Risk
Shaynecoat,Outerwear & Coats,Women,2,60,24,330.02999927848577,12,Markdown Risk
Oakley,Tops & Tees,Men,3,60,48,537.35999822616577,16,Markdown Risk
Lifetime Collective,Shorts,Women,1,60,6,193.67999956011772,6,Markdown Risk
Minus33 Merino Wool,Accessories,Men,2,60,20,239.39999907743186,10,Markdown Risk
UNIONBAY,Sweaters,Men,2,60,25,361.67999971657991,12.5,Markdown Risk
Carolyn Forsman,Accessories,Women,2,60,2,22.199999950826168,1,Margin Watch
Donna Di Capri,Intimates,Women,4,60,41,304.7399989888072,10.25,Markdown Risk
BBW Boutique,Tops & Tees,Women,1,60,18,618.83999884128571,18,Markdown Risk
Modern Culture,Shorts,Men,2,60,29,461.85000043362379,14.5,Markdown Risk
Nautica,Outerwear & Coats,Women,1,60,21,593.53026140437078,21,Markdown Risk
Hi-Tec,Pants,Men,1,59.9900016784668,13,333.00450015387889,13,Markdown Risk
Sean John,Outerwear & Coats,Men,1,59.9900016784668,21,502.50530724470519,21,Markdown Risk
Drake,Pants,Men,1,59.9900016784668,3,76.307282574818757,3,Markdown Risk
Perry Ellis,Suits & Sport Coats,Men,1,59.9900016784668,21,524.629201649572,21,Markdown Risk
Petrol Jeans,Jeans,Men,1,59.9900016784668,6,207.68538499023285,6,Markdown Risk
Helmut Lang,Sweaters,Men,1,59.9900016784668,13,389.15514085117229,13,Markdown Risk
The Irish Linen Store,Sleep & Lounge,Women,1,59.9900016784668,22,841.53974728480284,22,Markdown Risk
Jordan,Fashion Hoodies & Sweatshirts,Men,1,59.9900016784668,18,716.65958105275649,18,Markdown Risk
Briefly Stated,Underwear,Men,3,59.989999771118164,31,294.96523970534872,10.33,Markdown Risk
ililily,Fashion Hoodies & Sweatshirts,Women,2,59.980001449584961,21,293.10061347634564,10.5,Markdown Risk
Woman Within,Fashion Hoodies & Sweatshirts,Women,2,59.980001449584961,21,284.78025683582212,10.5,Markdown Risk
Moda Essentials,Suits & Sport Coats,Men,2,59.979999542236328,15,198.38384832506779,7.5,Markdown Risk
Throwdown,Fashion Hoodies & Sweatshirts,Men,2,59.979999542236328,20,349.44347718649038,10,Markdown Risk
Guy Harvey,Shorts,Men,2,59.979999542236328,6,90.869699286378165,3,Markdown Risk
U.S. Polo Assn.,Fashion Hoodies & Sweatshirts,Men,2,59.979999542236328,43,755.09178895211949,21.5,Markdown Risk
Ed Hardy,Tops & Tees,Women,2,59.979999542236328,40,653.12221340042174,20,Markdown Risk
Avital,Dresses,Women,2,59.979999542236328,8,113.96199904087187,4,Markdown Risk
UNIONBAY,Pants,Men,2,59.979999542236328,17,256.96177701372619,8.5,Markdown Risk
Ed Hardy,Dresses,Women,2,59.979999542236328,13,190.64642856823616,6.5,Markdown Risk
IZOD,Jeans,Men,2,59.979999542236328,31,534.48177521344735,15.5,Markdown Risk
Title Boxing,Fashion Hoodies & Sweatshirts,Women,2,59.979999542236328,18,235.9013386581203,9,Markdown Risk
Anne Klein,Plus,Women,4,59.969999313354492,38,316.64918850991637,9.5,Markdown Risk
Nittany Outlet,Fashion Hoodies & Sweatshirts,Women,3,59.969999313354492,28,260.40972781427627,9.33,Markdown Risk
MG,Accessories,Men,3,59.969999313354492,50,340.48941521750959,16.67,Markdown Risk
Pajama Jeans,Jeans,Women,1,59.959999084472656,15,471.28559131632136,15,Markdown Risk
Angelina,Plus,Women,5,59.959999084472656,61,315.4263939257529,12.2,Markdown Risk
Christian Audigier,Pants,Men,4,59.959999084472656,29,196.30903707091423,7.25,Markdown Risk
Teeki,Active,Women,1,59.950000762939446,8,184.1664039445877,8,Markdown Risk
Rusty,Pants,Men,1,59.950000762939446,19,470.42765883827803,19,Markdown Risk
Rocky,Active,Men,3,59.930000305175781,28,239.60596196389656,9.33,Markdown Risk
KISSABLE,Intimates,Women,2,59.900001525878906,17,283.08740714302144,8.5,Markdown Risk
The Brag Company,Intimates,Women,2,59.900001525878906,22,583.92310791295927,11,Markdown Risk
Always Sunny In Philadelphia,Tops & Tees,Men,3,59.850002288818359,13,144.97665518414706,4.33,Markdown Risk
Civil Society,Shorts,Men,2,59.799999237060554,23,324.594395264408,11.5,Markdown Risk
Bjorn Borg,Socks,Men,5,59.749999046325684,72,516.80164300858894,14.4,Markdown Risk
Hee Grand,Outerwear & Coats,Men,1,59.709999084472656,12,286.60799720701573,12,Markdown Risk
Ralph by Ralph Lauren,Plus,Women,1,59.580001831054688,6,161.22348541294457,6,Markdown Risk
Kenneth Cole,Skirts,Women,1,59.520000457763672,9,239.4489601812744,9,Markdown Risk
Hurley,Sweaters,Men,1,59.5,34,983.40550048975285,34,Markdown Risk
Threadless,Fashion Hoodies & Sweatshirts,Women,1,59.5,9,260.25300076603895,9,Markdown Risk
Hurley,Active,Women,1,59.5,28,623.83900366537273,28,Markdown Risk
Rocawear,Jeans,Men,1,59.5,37,1250.7534342058702,37,Markdown Risk
Jack O'Neill,Shorts,Men,1,59.450000762939446,12,328.16400484925509,12,Markdown Risk
Rusty,Fashion Hoodies & Sweatshirts,Men,1,59.450000762939446,14,477.16160479111574,14,Markdown Risk
Maison Scotch,Shorts,Women,4,59.319999694824226,33,361.81693985809147,8.25,Markdown Risk
Sugoi,Swim,Women,1,59.25,16,413.32800241559744,16,Markdown Risk
Danskin,Socks & Hosiery,Women,4,59.25,19,112.23824968189001,4.75,Markdown Risk
Marshal,Accessories,Men,5,59.190000534057617,93,482.22234010764004,18.6,Markdown Risk
Bench,Sweaters,Women,1,59.189998626708977,44,1221.8608933193859,44,Markdown Risk
Ulla Popken,Sweaters,Women,1,59,22,598.773999221623,22,Markdown Risk
Flexees,Plus,Women,1,59,52,1153.1660005170852,52,Markdown Risk
TAVIK,Swim,Men,1,59,12,429.75600120797753,12,Markdown Risk
Andrew Christian,Active,Men,1,59,17,442.32300150953233,17,Markdown Risk
Seven7,Pants & Capris,Women,1,59,10,296.533999921754,10,Markdown Risk
Jockey,Tops & Tees,Men,1,59,28,916.85199854150414,28,Markdown Risk
Buffalo by David Bitton,Tops & Tees,Men,1,59,37,1042.740910544941,37,Markdown Risk
Panache,Maternity,Women,1,59,27,721.21600238606334,27,Markdown Risk
GUESS,Tops & Tees,Women,1,59,6,200.00999948568642,6,Markdown Risk
Andrew Christian,Sleep & Lounge,Men,1,59,18,438.60599870234734,18,Markdown Risk
Belts.com,Accessories,Men,5,58.969999313354492,46,197.64051656333686,9.2,Markdown Risk
Morgan Taylor,Intimates,Women,2,58.819999694824219,9,147.96170883396726,4.5,Markdown Risk
Anvil,Tops & Tees,Women,4,58.299999237060547,26,200.44359787797325,6.5,Markdown Risk
A:X Armani Exchange,Swim,Men,1,58,18,649.4840013962239,18,Markdown Risk
Southpole,Shorts,Men,2,58,98,1423.1916588602703,49,Markdown Risk
Sharon Max,Pants & Capris,Women,1,58,12,403.68000005185604,12,Markdown Risk
Toes on the Nose,Swim,Men,1,58,21,774.53600170463324,21,Markdown Risk
COOL-JAMS WICKING SLEEPWEAR,Sleep & Lounge,Men,2,58,11,114.20199970528483,5.5,Markdown Risk
Outdoor Research,Plus,Women,2,58,10,158.92000012099746,5,Markdown Risk
Toddland,Sweaters,Men,1,58,11,289.65199994295841,11,Markdown Risk
Comune,Sweaters,Men,1,58,15,451.52999946847558,15,Markdown Risk
Altamont,Fashion Hoodies & Sweatshirts,Men,1,57.9900016784668,29,1175.6073229660246,29,Markdown Risk
DesignSK,Accessories,Men,2,57.979999542236328,27,335.79116552934209,13.5,Markdown Risk
Roamans,Plus,Women,2,57.979999542236328,8,105.75551922033308,4,Markdown Risk
La Fiorentina,Plus,Women,3,57.969999313354492,28,272.762636659459,9.33,Markdown Risk
Xfy,Fashion Hoodies & Sweatshirts,Women,4,57.959999084472656,36,239.62957627478869,9,Markdown Risk
SLS3,Active,Women,1,57.950000762939446,11,291.31465527910592,11,Markdown Risk
Activewear Apparel,Active,Women,3,57.929999351501465,56,440.89404655512271,18.67,Markdown Risk
,Tops & Tees,Women,2,57.900001525878906,0,0,0,Margin Watch
Morris Costumes,Intimates,Women,4,57.850000381469727,87,708.28102682282633,21.75,Markdown Risk
Baskit,Underwear,Men,4,57.430000305175781,75,650.320792039487,18.75,Markdown Risk
Neon Buddha,Fashion Hoodies & Sweatshirts,Women,1,57.189998626708977,10,266.50539387529756,10,Markdown Risk
Swill,Fashion Hoodies & Sweatshirts,Men,1,57,12,399.4560017734766,12,Markdown Risk
The West Coast,Sweaters,Women,1,57,9,220.07699976302683,9,Markdown Risk
Hollywood Star Fashion,Active,Women,2,57,20,212.23900062590837,10,Markdown Risk
Barracuda,Swim,Men,2,57,19,313.48000101000071,9.5,Markdown Risk
Casual Socks,Plus,Women,2,56.979999542236328,17,239.8588678360554,8.5,Markdown Risk
Dickies,Socks,Men,6,56.969999313354492,81,505.84710748252206,13.5,Markdown Risk
White Sierra,Outerwear & Coats,Women,1,56.950000762939446,18,504.34920541237591,18,Markdown Risk
Darn Tough,Socks & Hosiery,Women,2,56.950000762939446,35,333.042741673807,17.5,Markdown Risk
Calvin Klein Jeans,Blazers & Jackets,Women,1,56.389999389648438,26,655.05120141523162,26,Markdown Risk
Hee Grand,Suits & Sport Coats,Men,2,56.220001220703118,3,31.286430624030224,1.5,Margin Watch
Lord Daniels,Swim,Men,1,56.060001373291016,11,376.16260999584347,11,Markdown Risk
Baboosh,Maternity,Women,1,56,9,212.18400098383427,9,Markdown Risk
Alternative,Sweaters,Men,1,56,9,259.05600021779543,9,Markdown Risk
PUMA,Underwear,Men,2,56,29,377.54400033503771,14.5,Markdown Risk
Freya,Swim,Women,1,56,13,309.20400161296129,13,Markdown Risk
Ralph Lauren Purple Label,Blazers & Jackets,Women,1,56,7,145.04000113904476,7,Markdown Risk
Harry Potter,Tops & Tees,Women,2,55.979999542236328,12,194.47451775407379,6,Markdown Risk
F.U.S.A.I.,Fashion Hoodies & Sweatshirts,Men,2,55.979999542236328,12,161.54580868210132,6,Markdown Risk
Gypsy Rose,Fashion Hoodies & Sweatshirts,Women,2,55.959999084472656,42,532.53087183228752,21,Markdown Risk
Sheer Delights,Accessories,Men,4,55.959999084472656,17,83.478328584646874,4.25,Markdown Risk
My1stwish,Sweaters,Women,2,55.900001525878906,18,213.81750527422867,9,Markdown Risk
Code V,Tops & Tees,Women,3,55.860002517700195,19,224.61362757945534,6.33,Markdown Risk
ToeSox,Active,Women,2,55.63999938964843,11,126.69227914147572,5.5,Markdown Risk
ToeSox,Socks & Hosiery,Women,2,55.63999938964843,13,127.30431791370393,6.5,Markdown Risk
Liberty,Jeans,Men,1,55.4900016784668,13,392.42529169812917,13,Markdown Risk
Royal Robbins,Shorts,Women,1,55,32,897.12400031462312,32,Markdown Risk
Callaway,Active,Men,1,55,11,208.19260036242912,11,Markdown Risk
KAVU,Skirts,Women,1,55,15,353.09999948367482,15,Markdown Risk
Splendid,Swim,Women,1,55,13,326.04000017046934,13,Markdown Risk
Kuhl,Tops & Tees,Men,1,55,20,670.99999934434891,20,Markdown Risk
Minus33 Merino Wool,Jeans,Men,1,55,37,1170.7619975209236,37,Markdown Risk
Scottevest,Shorts,Men,1,55,14,408.09999948367471,14,Markdown Risk
Taillissime,Sweaters,Women,1,54.9900016784668,19,501.50881382857341,19,Markdown Risk
Taillissime,Dresses,Women,1,54.9900016784668,15,367.05826068138884,15,Markdown Risk
Roamans,Fashion Hoodies & Sweatshirts,Women,1,54.9900016784668,18,447.39865508670431,18,Markdown Risk
Undefeated,Active,Men,1,54.9900016784668,9,188.5607162421951,9,Markdown Risk
L.A. Idol,Jeans,Women,1,54.9900016784668,16,507.66769512850783,16,Markdown Risk
Sirisha,Sleep & Lounge,Men,1,54.9900016784668,86,1832.2176427280904,86,Markdown Risk
MANGO,Sweaters,Men,1,54.9900016784668,21,582.6834479648918,21,Markdown Risk
ITC,Fashion Hoodies & Sweatshirts,Men,1,54.9900016784668,11,312.72814010428152,11,Markdown Risk
CCV Inc,Leggings,Women,1,54.9900016784668,24,792.07598495016362,24,Markdown Risk
Southpole,Pants,Men,2,54.989999771118164,34,415.550558963905,17,Markdown Risk
MANGO,Sweaters,Women,2,54.980001449584961,39,532.560755065149,19.5,Markdown Risk
Woman Within,Skirts,Women,2,54.979999542236328,74,795.69508017304872,37,Markdown Risk
High Style,Leggings,Women,3,54.979999542236328,57,557.86802516160276,19,Markdown Risk
adidas,Fashion Hoodies & Sweatshirts,Women,1,54.979999542236328,21,562.33543619501734,21,Markdown Risk
Isis,Shorts,Women,1,54.950000762939446,7,183.47805253025962,7,Markdown Risk
Mountain Hardwear,Shorts,Women,1,54.950000762939446,20,503.34200761082786,20,Markdown Risk
Enjoi,Swim,Men,1,54.950000762939446,7,246.17600364723802,7,Markdown Risk
12XLShop Inc.,Fashion Hoodies & Sweatshirts,Men,1,54.900001525878906,10,314.02800907161838,10,Markdown Risk
2b by bebe,Sweaters,Women,2,54.900001525878906,20,262.117506546881,10,Markdown Risk
point6,Socks & Hosiery,Women,3,54.850001335144043,20,140.2733528029114,6.67,Markdown Risk
Sweet,Sleep & Lounge,Women,2,54.739999771118164,78,1123.8600880400809,39,Markdown Risk
Democracy,Fashion Hoodies & Sweatshirts,Women,1,54.689998626708977,13,322.06940173258653,13,Markdown Risk
Canterbury of New Zealand,Tops & Tees,Men,3,54.629997253417969,6,57.470756762182127,2,Margin Watch
Knox Armory,Sweaters,Men,1,54.599998474121087,9,225.55259314008953,9,Markdown Risk
Fox,Pants & Capris,Women,1,54.5,18,472.58099926449358,18,Markdown Risk
Allegra K,Skirts,Women,5,54.430000305175781,199,748.676846542001,39.8,Markdown Risk
Cashmere Int,Socks & Hosiery,Women,4,54.409998893737793,26,139.48128853590703,6.5,Markdown Risk
Rapid Dominance,Active,Men,1,54.200000762939446,18,433.54580712866129,18,Markdown Risk
CoreyLynnCalter,Shorts,Women,3,54.179998397827148,23,524.96589473336462,7.67,Markdown Risk
Democracy,Tops & Tees,Women,1,54,30,955.6159984767437,30,Markdown Risk
Donna Karan,Socks & Hosiery,Women,1,54,16,286.32799917459488,16,Markdown Risk
LibbySue,Plus,Women,3,54,61,540.53999968618155,20.33,Markdown Risk
INDERA THERMALS,Active,Men,3,54,33,225.97131904164377,11,Markdown Risk
Fruit of the Loom,Active,Women,3,54,53,366.54200155287981,17.67,Markdown Risk
Tifosi,Accessories,Women,1,54,7,173.01275752956209,7,Markdown Risk
Joe Snyder,Swim,Men,2,54,21,307.32200073078275,10.5,Markdown Risk
No Fear,Jeans,Men,1,54,10,287.81999965198332,10,Markdown Risk
Va Bien,Intimates,Women,1,54,28,937.12199863046408,28,Markdown Risk
TRUNKS,Underwear,Men,1,54,7,167.45399998873472,7,Markdown Risk
Matix,Tops & Tees,Men,1,54,5,144.44999953731894,5,Markdown Risk
Red Dot,Tops & Tees,Women,1,54,17,493.85399848222733,17,Markdown Risk
Ulla Popken,Skirts,Women,1,54,15,353.15999753773212,15,Markdown Risk
Lagaci Sport,Dresses,Women,2,53.979999542236328,9,117.81134885614514,4.5,Markdown Risk
Skechers,Socks,Men,5,53.979999542236328,36,234.23285797697994,7.2,Markdown Risk
Playboy,Sleep & Lounge,Men,2,53.979999542236328,9,93.520348926402264,4.5,Markdown Risk
Kiss,Intimates,Women,3,53.969999313354492,19,187.77604776647763,6.33,Markdown Risk
Incrediwear,Socks,Men,4,53.959999084472656,57,509.749912793523,14.25,Markdown Risk
Socksmith,Socks & Hosiery,Women,4,53.959999084472656,55,288.19054471558957,13.75,Markdown Risk
ASICS,Maternity,Women,2,53.919998168945312,16,200.58239392766956,8,Markdown Risk
JiMarti,Plus,Women,2,53.900001525878906,16,217.01120612754221,8,Markdown Risk
Levante,Socks & Hosiery,Women,3,53.850002288818359,28,192.81600673285112,9.33,Markdown Risk
Y&G,Accessories,Men,5,53.729999542236328,69,340.0965623740708,13.8,Markdown Risk
Pull-in,Swim,Men,1,53.689998626708977,19,628.38774622232654,19,Markdown Risk
V Fraas,Accessories,Women,3,53.479999542236328,12,97.876439114918412,4,Markdown Risk
Red Engine,Shorts,Women,2,53.020000457763679,28,355.2108816333066,14,Markdown Risk
Miss Me,Shorts,Women,1,53,8,221.75200001895428,8,Markdown Risk
Mad Engine,Fashion Hoodies & Sweatshirts,Men,1,52.9900016784668,11,311.8461605074931,11,Markdown Risk
BluePrint,Skirts,Women,1,52.9900016784668,8,189.06832539498083,8,Markdown Risk
LOTUSTRADERS,Dresses,Women,1,52.9900016784668,19,477.59071494138641,19,Markdown Risk
Hatley,Swim,Men,1,52.9900016784668,21,690.69622853497924,21,Markdown Risk
Ice,Pants & Capris,Women,2,52.979999542236328,21,301.6440573401959,10.5,Markdown Risk
Chaos,Accessories,Women,2,52.959999084472656,19,205.14419435700339,9.5,Markdown Risk
alo Sport,Leggings,Women,1,52.950000762939446,14,421.05840604480221,14,Markdown Risk
Therafirm,Socks & Hosiery,Women,2,52.94999885559082,26,247.02284443005306,13,Markdown Risk
Condor,Outerwear & Coats,Men,1,52.900001525878906,10,231.70200734254163,10,Markdown Risk
Capelli New York,Leggings,Women,3,52.889999389648438,25,225.33138769383123,8.33,Markdown Risk
Lodis,Accessories,Women,1,52.849998474121087,22,450.91723678869016,22,Markdown Risk
necessary objects,Blazers & Jackets,Women,1,52.790000915527344,12,254.02548592529126,12,Markdown Risk
Weathertamer,Outerwear & Coats,Women,1,52.779998779296882,19,460.29436821856621,19,Markdown Risk
Chaos,Accessories,Men,2,52.779998779296882,25,239.35049481867628,12.5,Markdown Risk
Vista,Outerwear & Coats,Men,1,52.630001068115234,16,397.4617704756165,16,Markdown Risk
Tru-Spec,Shorts,Men,1,52.529998779296882,10,281.56079264296289,10,Markdown Risk
TopTie,Dresses,Women,2,52.340000152587891,39,405.76973824285926,19.5,Markdown Risk
Royce Leather,Accessories,Men,2,52.2599983215332,10,114.97199568438532,5,Markdown Risk
Aryn K,Blazers & Jackets,Women,1,52.25,15,527.72500338684767,15,Markdown Risk
UltraClub,Sweaters,Men,2,52.210000991821289,53,702.45450536571559,26.5,Markdown Risk
Marithe Francois Girbaud,Shorts,Men,1,52.0099983215332,18,513.02662383420852,18,Markdown Risk
SNUG,Intimates,Women,2,52,14,201.29199977219105,7,Markdown Risk
DTL Down The Line Sportswear Inc.,Active,Women,1,52,17,333.26800028979778,17,Markdown Risk
Andrew Christian,Swim,Men,1,52,26,872.85087619796525,26,Markdown Risk
AxParis,Shorts,Women,2,52,40,543.562679248884,20,Markdown Risk
Lizatards,Fashion Hoodies & Sweatshirts,Women,1,52,3,76.9080001115799,3,Markdown Risk
Vobaga,Blazers & Jackets,Women,1,51.9900016784668,17,288.90760279155148,17,Markdown Risk
LRG,Tops & Tees,Men,2,51.989999771118164,86,1345.1609538503972,43,Markdown Risk
